,id,property_title,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,nr_reviews_past_year,avail_month,price_range
20938,52466688,Farmhouse-chic Oasis in the City - Shared w/ Host,518043036,Maria,Queens,Glendale,40.69272,-73.89712,Private room,477.0,31,78,1,364,4,oct-dec,High range
20940,52471756,1 Bedroom Apt Residential Area Close to Manhattan,207205519,Dmitriy,Staten Island,Shore Acres,40.606396,-74.067902,Entire home/apt,90.0,30,5,2,179,0,apr-jun,Mid-range product
20941,52472350,Students welcome 2 BR across from Beautiful Park,21194343,Marisa,Staten Island,Castleton Corners,40.6154,-74.11354,Entire home/apt,79.0,30,1,2,277,0,oct-dec,Low-range product
20942,52476530,Spacious and bright apartment in private community,224047081,Brooklyn,Brooklyn,Sea Gate,40.5793,-74.0046,Entire home/apt,135.0,30,2,15,139,0,apr-jun,Mid-range product
20943,52481960,"Blueground | UES, gym, w/d, nr 6 train & Met",107434423,Blueground,Manhattan,Upper East Side,40.7788913,-73.95349290000001,Entire home/apt,403.0,31,0,842,254,0,jul-sep,High range
20944,52487784,"Spotlessly clean 1 bedroom, 10 minutes  to ferry",32909880,Andrea,Staten Island,West Brighton,40.63042,-74.10299,Private room,109.0,4,43,1,238,11,jul-sep,Mid-range product
20945,52490036,"Bright & Cozy 2 Bdrm in heart of Williamsburg, BK",1142835,Lea,Brooklyn,Williamsburg,40.71206,-73.95286,Entire home/apt,290.0,30,19,1,143,1,apr-jun,High range
20946,52491515,Cozy 3 bedroom apt in the heart of Lower East Side,305489297,Stavros,Manhattan,Lower East Side,40.71733,-73.99111,Entire home/apt,200.0,30,9,5,77,2,jan-mar,Mid-range product
20947,52492041,"Need a room? I got you!
Bushwick/Ridgewood",33607986,Anisiia,Queens,Ridgewood,40.69863,-73.90685,Private room,109.0,2,51,3,21,1,jan-mar,Mid-range product
20948,52492455,Lovely Bright & Spacious Loft in Brooklyn.,2373167,Cathie,Brooklyn,Crown Heights,40.67709,-73.94381,Entire home/apt,167.0,30,31,1,63,0,jan-mar,Mid-range product
20950,52499504,Sunny Studio on Desirable East 88 Street,162171692,Jerry,Manhattan,Upper East Side,40.77913142539245,-73.95004639404897,Entire home/apt,151.0,30,2,1,315,2,oct-dec,Mid-range product
20951,52500005,"Bushwick HDTV Room, 25 min to Manhattan #253",3223938,Eugene,Queens,Ridgewood,40.7009,-73.90484,Private room,40.0,30,0,692,338,0,oct-dec,Low-range product
20952,52500799,Lux 1 bed in Park Ave with views *Flexible TERMS*,9816503,Mick,Manhattan,Midtown,40.74711,-73.98216,Entire home/apt,223.0,30,0,1,358,0,oct-dec,Mid-range product
20954,52508207,Private studio apartment,352422868,Ismene,Brooklyn,Crown Heights,40.67338,-73.94499,Entire home/apt,100.0,30,1,2,256,0,jul-sep,Mid-range product
20960,52517517,Lovely 2 bedroom Apartment in Harlem-Striver's Row,25266538,RaVal,Manhattan,Harlem,40.81813,-73.94368,Entire home/apt,116.0,30,8,1,323,5,oct-dec,Mid-range product
20966,52534281,Minimal room 3 SofaBed + loft bed in Manhattan,408979935,Nana And KY,Manhattan,Chelsea,40.75092,-73.99803,Private room,89.0,1,159,25,26,54,jan-mar,Mid-range product
20968,52534815,Minimal room 4 SofaBed + loft bed in Manhattan,408979935,Nana And KY,Manhattan,Chelsea,40.7498659,-73.9971589,Private room,85.0,1,285,25,33,108,jan-mar,Low-range product
20969,52534882,165 East 89-Studio in Upper East Side,51501835,Jeniffer,Manhattan,Upper East Side,40.78048,-73.95384,Entire home/apt,121.0,30,5,153,330,1,oct-dec,Mid-range product
20970,52535430,Sunkissed room in 2bdrm in next to Ft Greene Park,5378922,Eileen,Brooklyn,Fort Greene,40.68760150417018,-73.9721235532507,Private room,100.0,30,1,3,350,0,oct-dec,Mid-range product
20971,52547649,Convenient Private Room #577 B,305240193,Elena,Manhattan,East Harlem,40.78824,-73.94192,Private room,85.0,30,0,351,96,0,apr-jun,Low-range product
